"Url","Status","Local","Detail"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/","200","index.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Categorias%20Restritas/LIBERACAO-CATEGORIAS-RESTRITAS.html","200","Elevate 4D\Categorias Restritas\LIBERACAO-CATEGORIAS-RESTRITAS.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Boas-Vindas/BEM-VINDO-ELEVATE.html","200","Boas-Vindas\BEM-VINDO-ELEVATE.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Time%20de%20Elite/BLACK-PANTHER-JULHO-2026.html","200","Time de Elite\BLACK-PANTHER-JULHO-2026.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Carteiras/CARTEIRAS-POR-SUPERVISOR.html","200","Carteiras\CARTEIRAS-POR-SUPERVISOR.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Recrutamento/AVALIACAO-PERFIL-CS.html","200","Recrutamento\AVALIACAO-PERFIL-CS.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Visao%20Geral/ELEVATE-4D-VISAO-GERAL.html","200","Elevate 4D\Visao Geral\ELEVATE-4D-VISAO-GERAL.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/One-Pager/ELEVATE-4D-ONE-PAGER.html","200","Elevate 4D\One-Pager\ELEVATE-4D-ONE-PAGER.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Mercado%20Livre%204D/Visao%20Geral/VISAO-GERAL-ML.html","200","Mercado Livre 4D\Visao Geral\VISAO-GERAL-ML.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Mercado%20Livre%204D/One-Pager/ONE-PAGER-ML.html","200","Mercado Livre 4D\One-Pager\ONE-PAGER-ML.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Metodologia/ELEVATE-4D-METODOLOGIA-DIAGNOSTICO.html","200","Elevate 4D\Metodologia\ELEVATE-4D-METODOLOGIA-DIAGNOSTICO.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/README.html","200","Elevate 4D\README.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/FUNDAMENTOS-MERCADO-LIVRE.html","200","Formacao\FUNDAMENTOS-MERCADO-LIVRE.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/FUNDAMENTOS-TIKTOK-SHOP.html","200","Formacao\FUNDAMENTOS-TIKTOK-SHOP.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/BOAS-PRATICAS-LIVE-TIKTOK.html","200","Formacao\BOAS-PRATICAS-LIVE-TIKTOK.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/GUIA-CRIADOR-AUTORIZAR-ANUNCIOS.html","200","Formacao\GUIA-CRIADOR-AUTORIZAR-ANUNCIOS.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/RECOMENDACOES-EXPLORACAO-ADS.html","200","Formacao\RECOMENDACOES-EXPLORACAO-ADS.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/Live%20que%20Vende/","200","Formacao\Live que Vende\index.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/Live%20que%20Vende/Programa-Formacao-Live-que-Vende.html","200","Formacao\Live que Vende\Programa-Formacao-Live-que-Vende.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/Live%20que%20Vende/Proposta-Formacao-Live-que-Vende.html","200","Formacao\Live que Vende\Proposta-Formacao-Live-que-Vende.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Formacao/Live%20que%20Vende/Guia-Setup-Equipamentos.html","200","Formacao\Live que Vende\Guia-Setup-Equipamentos.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Campanhas/CAMPANHA-8-8-TIKTOK-SHOP.html","200","Campanhas\CAMPANHA-8-8-TIKTOK-SHOP.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Campanhas/CAMPANHA-7-7-TIKTOK-SHOP.html","200","Campanhas\CAMPANHA-7-7-TIKTOK-SHOP.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Mercado%20Livre%204D/Analise%20de%20Conta/MODO-ANALISE-CONTA-ML.html","200","Mercado Livre 4D\Analise de Conta\MODO-ANALISE-CONTA-ML.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/Guia%20de%20Coleta/GUIA-COLETA-DADOS-4D.html","200","Elevate 4D\Fluxo de Classificacao\Guia de Coleta\GUIA-COLETA-DADOS-4D.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/SOP/FLUXO-CLASSIFICACAO-4D.html","200","Elevate 4D\Fluxo de Classificacao\SOP\FLUXO-CLASSIFICACAO-4D.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/Prompt/PROMPT-CLASSIFICACAO-4D.html","200","Elevate 4D\Fluxo de Classificacao\Prompt\PROMPT-CLASSIFICACAO-4D.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/ENTRADA-DADOS-4D.html","200","Elevate 4D\Fluxo de Classificacao\ENTRADA-DADOS-4D.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/MODELO-PLANEJAMENTO-ESTRATEGICO-4D.html","200","Elevate 4D\Fluxo de Classificacao\MODELO-PLANEJAMENTO-ESTRATEGICO-4D.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/MODELO-RELATORIO-4D.html","200","Elevate 4D\Fluxo de Classificacao\MODELO-RELATORIO-4D.html","text/html"
"https://elevate-4d-hub-git-main-fox-squad-s-projects.vercel.app/Elevate%204D/Fluxo%20de%20Classificacao/CALCULADORA-4D.xlsx","200","Elevate 4D\Fluxo de Classificacao\CALCULADORA-4D.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
